Side_Name,Side_VN
ADH inappropriate,Hội chứng tiết ADH không phù hợp
ADVERSE DRUG EFFECT,Tác dụng phụ của thuốc
AFIB,Rung nhĩ
Abdominal hernia,Thoát vị thành bụng
Abnormal Gait,Dáng đi bất thường
Abnormal LFTs,Xét nghiệm chức năng gan bất thường
Abnormal Laboratory Findings,Kết quả xét nghiệm bất thường
Abnormal vision,Thị lực bất thường
Aching joints,Đau khớp
Acidosis,Nhiễm toan
Acne,Mụn trứng cá
Acromegaly,Bệnh to đầu chi
Acute Respiratory Distress Syndrome,Hội chứng suy hô hấp cấp
Acute myeloblastic leukemia,Bạch cầu tủy cấp
Adenopathy,Hạch to
Alcoholic intoxication,Ngộ độc rượu
Altered Bowel Function,Rối loạn chức năng ruột
Amnesia,Mất trí nhớ
Anal fistula,Rò hậu môn
Anemia aplastic,Thiếu máu bất sản
Anisocoria,Đồng tử không đều
Anorexia,Chán ăn
Anxiety,Lo âu
Aphonia,Mất tiếng
Apnea,Ngưng thở
Arachnoiditis,Viêm màng nhện
Arrhythmia,Rối loạn nhịp tim
Arthritis bacterial,Viêm khớp do vi khuẩn
Arthritis infective,Viêm khớp nhiễm trùng
Arthritis rheumatoid,Viêm khớp dạng thấp
Aseptic meningitis,Viêm màng não vô trùng
Aspartate Aminotransferase Increase,Tăng men gan AST
Astrocytoma,U sao bào
Ataxia,Mất điều hòa vận động
Atherosclerosis,Xơ vữa động mạch
Atrioventricular block complete,Block nhĩ thất hoàn toàn
Atrioventricular block first degree,Block nhĩ thất độ I
Back Ache,Đau lưng
Bacteraemia,Nhiễm khuẩn huyết
Bacterial infection,Nhiễm khuẩn
Benign Neoplasm,U lành tính
Bicuspid Aortic Valve,Van động mạch chủ hai lá
Bilirubinaemia,Tăng bilirubin máu
Bladder Neoplasm,U bàng quang
Bladder inflammation,Viêm bàng quang
Bleeding,Chảy máu
Bleeding gums,Chảy máu nướu
Bleeding hemorrhoids,Trĩ chảy máu
Blepharospasm,Co thắt mí mắt
Blood Calcium Increased,Tăng canxi máu
Blood calcium decreased,Giảm canxi máu
Blood disorder,Rối loạn về máu
Bone Fracture Spontaneous,Gãy xương tự phát
Bone marrow fibrosis,Xơ hóa tủy xương
Bradyarrhythmia,Nhịp tim chậm bất thường
Breakthrough bleeding,Chảy máu giữa kỳ
Breast Lump,Khối u vú
Breast abscess,Áp xe vú
Breast cancer,Ung thư vú
Breast cyst,U nang vú
Breast disorder,Rối loạn tuyến vú
Breast swelling,Sưng vú
Bunion,Lệch ngón chân cái
Burns Second Degree,Bỏng độ hai
CMV infection,Nhiễm virus CMV
CYSTO,Nội soi bàng quang
Caesarean Section,Mổ lấy thai
Candida Infection,Nhiễm nấm Candida
Carcinoma of Prostate,Ung thư tuyến tiền liệt
Cardiac decompensation,Suy tim mất bù
Cardiac ischemia,Thiếu máu cơ tim
Cardiac tamponade,Chèn ép tim
Cardiomyopathy,Bệnh cơ tim
Cerebral thrombosis,Huyết khối não
Chest infection,Nhiễm trùng đường hô hấp
Chest wall pain,Đau thành ngực
Cholangitis,Viêm đường mật
Cholangitis sclerosing,Viêm đường mật xơ cứng
Chronic Kidney Disease,Bệnh thận mạn tính
Clotting,Rối loạn đông máu
Cold extremities,Tay chân lạnh
Collagen disease,Bệnh mô liên kết
Colon Spastic,Co thắt đại tràng
Colpitis,Viêm âm đạo
Convulsions Grand Mal,Co giật toàn thể
Cor pulmonale,Tâm phế mạn
Corneal clouding,Đục giác mạc
Corneal dystrophy,Loạn dưỡng giác mạc
Cough,Ho
Cryptosporidiosis,Nhiễm ký sinh trùng Cryptosporidium
Cutaneous mycosis,Nấm da
Cystic Fibrosis,Bệnh xơ nang
Cystitis Interstitial,Viêm bàng quang kẽ
Deafness neurosensory,Điếc thần kinh giác quan
Decreased Libido,Giảm ham muốn tình dục
Decreased hearing,Giảm thính lực
Dermatitis diaper,Viêm da do tã
Detached retina,Bong võng mạc
Diabetes,Đái tháo đường
Diabetic Nephropathy,Bệnh thận do đái tháo đường
Diabetic Retinopathy,Bệnh võng mạc do đái tháo đường
Diabetic neuropathy,Bệnh thần kinh do đái tháo đường
Difficulty breathing,Khó thở
Diphtheria,Bạch hầu
Diplopia,Song thị
Disorder Lung,Rối loạn phổi
Disorder Peripheral Vascular,Rối loạn mạch máu ngoại biên
Disorder Retinal,Rối loạn võng mạc
Drug addiction,Nghiện thuốc
Drug hypersensitivity,Quá mẫn thuốc
Dyspnea exertional,Khó thở khi gắng sức
Dyspnoea paroxysmal nocturnal,Khó thở kịch phát về đêm
EBV infection,Nhiễm virus EBV
Easy bruisability,Dễ bầm tím
Ejaculation Premature,Xuất tinh sớm
Ekbom Syndrome,Hội chứng Ekbom
Electrolyte disorder,Rối loạn điện giải
Embolism pulmonary,Thuyên tắc phổi
Endometrial Atrophy,Teo nội mạc tử cung
Endometrial cancer,Ung thư nội mạc tử cung
Endometrial hyperplasia,Tăng sản nội mạc tử cung
Endometritis,Viêm nội mạc tử cung
Enuresis,Đái dầm
Eosinophil Count Increased,Tăng bạch cầu ái toan
Erythema nodosum,Hồng ban nút
Essential Thrombocythemia,Tăng tiểu cầu tiên phát
Eustachian tube disorder,Rối loạn vòi nhĩ
Excess potassium,Tăng kali máu
Excoriation,Trầy xước da
Extrasystoles Ventricular,Ngoại tâm thu thất
Extremity pain,Đau chi
Fainting,Ngất
Fatigue,Mệt mỏi
Fatty stools,Phân mỡ
Feeling unwell,Khó chịu trong người
Gastric Cancer,Ung thư dạ dày
Gastric ulcer perforated,Thủng loét dạ dày
Gastrointestinal Obstruction,Tắc ruột
Glossitis,Viêm lưỡi
Glucose intolerance,Rối loạn dung nạp glucose
HIV disease,Bệnh HIV/AIDS
HIV positive,Dương tính với HIV
Haemophilia,Bệnh máu khó đông
Hallucination,Ảo giác
Head ache,Đau đầu
Hepatic failure,Suy gan
Hepatitis A,Viêm gan A
Hepatitis C,Viêm gan C
Hernia Inguinal,Thoát vị bẹn
Herpes ophthalmic,Herpes mắt
Herxheimer reaction,Phản ứng Jarisch-Herxheimer
High blood pressure,Tăng huyết áp
Hoarseness,Khàn tiếng
Hypercapnia,Tăng CO2 máu
Hyperprolactinaemia,Tăng prolactin máu
Hypomagnesaemia,Hạ magie máu
Hypophosphataemia,Hạ phosphat máu
Hypotension Orthostatic,Hạ huyết áp tư thế
Hypoventilation,Giảm thông khí
IgA nephropathy,Bệnh thận IgA
Incontinence,Mất kiểm soát tiểu tiện
Infection Upper Respiratory,Nhiễm trùng đường hô hấp trên
Infection Urinary Tract,Nhiễm trùng đường tiết niệu
Infection Viral,Nhiễm virus
Interstitial nephritis,Viêm thận kẽ
Intertrigo,Hăm kẽ da
Intervertebral Disc Herniation,Thoát vị đĩa đệm
Irritation Skin,Kích ứng da
JRA,Viêm khớp dạng thấp thiếu niên
Keloid scar,Sẹo lồi
Lacrimal Disorder,Rối loạn tuyến lệ
Legionella,Nhiễm vi khuẩn Legionella
Leriche syndrome,Hội chứng Leriche
Leukaemia,Bệnh bạch cầu
Lice Infestation,Nhiễm chấy rận
Light sensitivity,Nhạy cảm với ánh sáng
Lyell,Hội chứng Lyell
Lyme Disease,Bệnh Lyme
Lymphatic Disorders,Rối loạn hệ bạch huyết
Lymphocytes decreased,Giảm lympho bào
MPD,Rối loạn tăng sinh tủy
Masculinization,Nam tính hóa
Meningitis Viral,Viêm màng não do virus
Menstrual Disorder,Rối loạn kinh nguyệt
Mod,Không rõ (MOD)
Morphea,Xơ cứng bì khu trú
Multiple Myeloma,Đa u tủy
Mumps,Quai bị
Muscle Rupture,Rách cơ
Mycobacterium tuberculosis infection,Nhiễm vi khuẩn lao
Myringitis,Viêm màng nhĩ
Nail disorder,Rối loạn móng
Near Syncope,Tiền ngất
Nephrogenic diabetes insipidus,Đái tháo nhạt do thận
Nephrolithiasis,Sỏi thận
Neuralgia,Đau dây thần kinh
Neuritis,Viêm dây thần kinh
Neuromuscular Disorder,Rối loạn thần kinh cơ
Neurosis,Rối loạn thần kinh chức năng
Neutropenia,Giảm bạch cầu trung tính
Nodule Skin,Nốt da
OPTIC NEURITIS,Viêm dây thần kinh thị giác
Oily Skin,Da dầu
Oligomenorrhea,Thiểu kinh
Onycholysis,Bong móng
Osteoarthritis,Thoái hóa khớp
Osteogenesis Imperfecta,Bệnh xương thủy tinh
Ovarian Cyst,U nang buồng trứng
Ovarian cancer,Ung thư buồng trứng
PMs,Hội chứng tiền kinh nguyệt
Pain,Đau
Papilloma,U nhú
Paraesthesia,Dị cảm
Parkinson,Bệnh Parkinson
Pelvic Inflammatory Disease,Viêm vùng chậu
Penile pain,Đau dương vật
Penile swelling,Sưng dương vật
Personality disorder,Rối loạn nhân cách
Pertussis,Ho gà
Peyronies Disease,Bệnh Peyronie
Pharyngitis Streptococcal,Viêm họng do liên cầu
Phlebitis,Viêm tĩnh mạch
Pleural Effusion,Tràn dịch màng phổi
Pneumocystis carinii infection,Nhiễm Pneumocystis carinii
Pneumocystis carinii pneumonia,Viêm phổi do Pneumocystis carinii
Polio,Bại liệt
Polymenorrhea,Đa kinh
Porphyria,Bệnh rối loạn chuyển hóa porphyrin
Post nasal drip,Chảy dịch mũi sau
Post thrombotic syndrome,Hội chứng hậu huyết khối
Postherpetic Neuralgia,Đau dây thần kinh sau zona
Prinzmetal variant angina,Đau thắt ngực biến thể Prinzmetal
Pterygium,Mộng thịt
Raynauds phenomenon,Hiện tượng Raynaud
Rectal Tenesmus,Mót rặn trực tràng
Retinal artery occlusion,Tắc động mạch võng mạc
Retroperitoneal fibrosis,Xơ hóa sau phúc mạc
Rhagades,Nứt kẽ da
Rheumatic fever,Sốt thấp khớp
Rhinitis,Viêm mũi
Rhinitis Seasonal,Viêm mũi theo mùa
Rubella,Sởi Đức
SCLC,Ung thư phổi tế bào nhỏ
Salivary Gland Calculus,Sỏi tuyến nước bọt
Salmonella,Nhiễm Salmonella
Salpingitis,Viêm vòi trứng
Scar,Sẹo
Scleroderma,Xơ cứng bì
Scoliosis,Vẹo cột sống
Seasonal Affective Disorder,Rối loạn cảm xúc theo mùa
Seroma,Tụ dịch
Sinus headache,Đau đầu do viêm xoang
Sinusitis,Viêm xoang
Sjogrens syndrome,Hội chứng Sjogren
Skin Striae,Rạn da
Small intestinal obstruction,Tắc ruột non
Spinal Compression Fracture,Gãy lún đốt sống
Spinal fracture,Gãy cột sống
Splenic infarction,Nhồi máu lách
Strabismus,Lác mắt
Stress incontinence,Tiểu không tự chủ do gắng sức
Superficial thrombophlebitis,Viêm tĩnh mạch nông
Supraventricular tachycardia,Nhịp nhanh trên thất
Tendinitis,Viêm gân
Tenosynovitis,Viêm bao gân
Thrombophlebitis,Viêm tĩnh mạch huyết khối
Tinea Capitis,Nấm da đầu
Tooth Impacted,Răng mọc ngầm
Tracheobronchitis,Viêm khí phế quản
Transfusion reaction,Phản ứng truyền máu
Tympanic membrane disorder,Rối loạn màng nhĩ
Typhoid,Thương hàn
Uterine polyp,Polyp tử cung
Vaginal prolapse,Sa âm đạo
Vasomotor Rhinitis,Viêm mũi vận mạch
Vestibular disorder,Rối loạn tiền đình
Viral Pharyngitis,Viêm họng do virus
Viral rash NOS,Phát ban do virus không xác định
Vitamin D Deficiency,Thiếu vitamin D
Vitreous haemorrhage,Xuất huyết dịch kính
Whiplash Injury,Chấn thương cổ do tăng giảm tốc
abdominal distension,Chướng bụng
abdominal pain,Đau bụng
abdominal pain upper,Đau bụng trên
abnormal ECG,Điện tâm đồ bất thường
abnormal EEG,Điện não đồ bất thường
abnormal cervical smear,Phết tế bào cổ tử cung bất thường
abnormal mammogram,Nhũ ảnh bất thường
abnormal movements,Rối loạn vận động
abortion missed,Thai lưu
abortion spontaneous,Sảy thai tự nhiên
abscess,Áp xe
abuse,Lạm dụng
acanthosis nigricans,Gai đen
aching muscles,Đau cơ
acid reflux,Trào ngược axit
acne rosacea,Trứng cá đỏ
acquired immune deficiency syndrome,Hội chứng suy giảm miễn dịch mắc phải (AIDS)
actinic keratosis,Dày sừng quang hóa
acute brain syndrome,Hội chứng não cấp
acute bronchitis,Viêm phế quản cấp
acute febrile neutrophilic dermatosis,Viêm da bạch cầu trung tính cấp tính kèm sốt
acute glomerulonephritis,Viêm cầu thận cấp
acute intermittent porphyria,Rối loạn chuyển hóa porphyrin cấp tính từng cơn
acute kidney failure,Suy thận cấp
acute otitis media,Viêm tai giữa cấp
acute pancreatitis,Viêm tụy cấp
acute psychosis,Loạn thần cấp
acute sinusitis,Viêm xoang cấp
adenitis,Viêm hạch
adenocarcinoma,U tuyến ác tính
adenoid hypertrophy,Phì đại VA
adenoma,U tuyến lành tính
adenomyosis,Lạc nội mạc tử cung trong cơ tử cung
adjustment disorder,Rối loạn thích nghi
adrenal carcinoma,Ung thư tuyến thượng thận
adrenal insufficiency,Suy tuyến thượng thận
adynamic ileus,Liệt ruột cơ năng
agitated,Kích động
agnosia,Mất nhận thức
agoraphobia,Chứng sợ khoảng trống
agranulocytoses,Mất bạch cầu hạt
albuminuria,Albumin niệu
alcohol abuse,Lạm dụng rượu
alcohol consumption,Uống rượu
alcoholic cirrhosis,Xơ gan do rượu
alkalosis,Nhiễm kiềm
allergic alveolitis,Viêm phế nang dị ứng
allergic bronchitis,Viêm phế quản dị ứng
allergic dermatitis,Viêm da dị ứng
allergic rhinitis,Viêm mũi dị ứng
allergic vasculitis,Viêm mạch dị ứng
allergies,Dị ứng
alopecia,Rụng tóc
als,Xơ cứng teo cơ một bên
alveolar proteinosis,Bệnh tích tụ protein phế nang
amaurosis fugax,Mù thoáng qua
amblyopia,Nhược thị
amenorrhea,Vô kinh
amentia,Lú lẫn
amyloidosis,Bệnh amyloid
amyotrophy,Teo cơ
anaemia,Thiếu máu
anaemia hypochromic,Thiếu máu nhược sắc
anal fissure,Nứt hậu môn
anal pruritus,Ngứa hậu môn
anaphylactic reaction,Phản vệ
aneurysm,Phình mạch
angiitis,Viêm mạch
angina,Đau thắt ngực
angioedema,Phù mạch
angiopathy,Bệnh mạch máu
angle closure glaucoma,Glôcôm góc đóng
animal bite,Vết cắn động vật
ankle fracture,Gãy cổ chân
ankylosing spondylitis,Viêm cột sống dính khớp
anogenital warts,Mụn cóc sinh dục
anosmia,Mất khứu giác
anovulatory,Không rụng trứng
anthrax,Bệnh than
antinuclear antibody positive,Kháng thể kháng nhân dương tính
aortic aneurysm,Phình động mạch chủ
aortic regurgitation,Hở van động mạch chủ
aortic stenosis,Hẹp van động mạch chủ
aphasia,Mất ngôn ngữ
aphthous stomatitis,Viêm loét áp-tơ miệng
aplasia pure red cell,Bất sản dòng hồng cầu đơn thuần
apoplexy,Đột quỵ
appendectomy,Cắt ruột thừa
appendicitis,Viêm ruột thừa
apraxia,Mất động tác hữu ý
aptyalism,Khô miệng
arterial insufficiency,Suy động mạch
arterial pressure NOS decreased,Hạ huyết áp
arterial pressure NOS increased,Tăng huyết áp
arteriosclerosis,Xơ cứng động mạch
arteriosclerotic heart disease,Bệnh tim do xơ vữa động mạch
arteritis,Viêm động mạch
arthritis,Viêm khớp
arthropathy,Bệnh khớp
ascites,Cổ trướng
aseptic necrosis bone,Hoại tử xương vô mạch
aspergillosis,Nhiễm nấm Aspergillus
aspiration pneumonia,Viêm phổi hít
asthenia,Suy nhược
asthenopia,Mỏi mắt
asthma,Hen suyễn
asystole,Vô tâm thu
atelectasis,Xẹp phổi
atrial ectopic beats,Ngoại tâm thu nhĩ
atrial flutter,Cuồng nhĩ
atrial septal defect,Thông liên nhĩ
atrioventricular block,Block nhĩ thất
atrioventricular block second degree,Block nhĩ thất độ II
atrophy of skin,Teo da
attempted suicide,Tự tử không thành
atypical mycobacterial infection,Nhiễm mycobacteria không điển hình
autonomic instability,Rối loạn thần kinh tự chủ
autonomic neuropathy,Bệnh thần kinh tự chủ
avascular necrosis,Hoại tử vô mạch
azotaemia,Tăng ure máu
back injury,Chấn thương lưng
bacterial conjunctivitis,Viêm kết mạc do vi khuẩn
bacterial endocarditis,Viêm nội tâm mạc do vi khuẩn
bacterial pneumonia,Viêm phổi do vi khuẩn
bacterial vaginitis,Viêm âm đạo do vi khuẩn
bad breath,Hôi miệng
balance disorder,Rối loạn thăng bằng
balanitis,Viêm quy đầu
basal cell carcinoma,Ung thư biểu mô tế bào đáy
belching,Ợ hơi
benign intracranial hypertension,Tăng áp lực nội sọ lành tính
benign prostatic hyperplasia,Phì đại tuyến tiền liệt lành tính
biliary cirrhosis,Xơ gan mật
biliary tract disorder,Rối loạn đường mật
bipolar disorder,Rối loạn lưỡng cực
birth defect,Dị tật bẩm sinh
black stools,Phân đen
bladder atony,Mất trương lực bàng quang
bladder cancer,Ung thư bàng quang
bladder diverticulum,Túi thừa bàng quang
bladder retention,Bí tiểu
bleb,Bóng nước nhỏ
bleeding Vaginal,Xuất huyết âm đạo
blepharitis,Viêm bờ mi
blepharoptosis,Sụp mi
blindness,Mù lòa
blood in urine,Tiểu máu
blood pressure abnormal,Huyết áp bất thường
blood sodium decreased,Hạ natri máu
blurred vision,Nhìn mờ
body temperature increased,Sốt
body tinea,Nấm da thân mình
bone fracture,Gãy xương
bone inflammation,Viêm xương
bone marrow failure,Suy tủy xương
bone marrow transplant,Ghép tủy xương
bone neoplasm,U xương
bone pain,Đau xương
bone sarcoma,Sarcoma xương
bone spur,Gai xương
borderline personality disorder,Rối loạn nhân cách ranh giới
brachial neuritis,Viêm dây thần kinh cánh tay
brachial plexus injury,Tổn thương đám rối thần kinh cánh tay
bradycardia,Nhịp tim chậm
brain abscess,Áp xe não
brain concussion,Chấn động não
brain neoplasm,U não
breast discharge,Tiết dịch vú
breast dysplasia,Loạn sản vú
breast enlargement,Phì đại vú
breast inflammation,Viêm vú
breast malformation,Dị dạng vú
breast neoplasm,U vú
breast pain,Đau vú
breast tenderness,Căng đau vú
bronchial spasm,Co thắt phế quản
bronchiectasis,Giãn phế quản
bronchiolitis,Viêm tiểu phế quản
bronchitis,Viêm phế quản
bruise,Bầm tím
bruxism,Nghiến răng
bulging,Phồng lên
bulimia,Chứng ăn vô độ
bundle branch block,Block nhánh
bundle branch block left,Block nhánh trái
bundle branch block right,Block nhánh phải
burning sensation,Cảm giác nóng rát
bursitis,Viêm bao hoạt dịch
cachectic,Suy mòn
calculus ureteric,Sỏi niệu quản
cancer,Ung thư
candidiasis of mouth,Nấm miệng
candidiasis of vagina,Nấm âm đạo
carbuncle,Nhọt cụm
carcinoid syndrome,Hội chứng carcinoid
carcinoid tumour,U carcinoid
carcinoma,Ung thư biểu mô
carcinoma of the cervix,Ung thư cổ tử cung
carcinoma of the colon,Ung thư đại tràng
cardiac disease,Bệnh tim
cardiac enlargement,Tim to
cardiac failure,Suy tim
cardiac murmur,Tiếng thổi tim
cardiac valvulopathy,Bệnh van tim
cardiovascular collapse,Trụy tim mạch
carotid artery stenosis,Hẹp động mạch cảnh
carotid bruit,Âm thổi động mạch cảnh
carpal tunnel,Hội chứng ống cổ tay
cataplexy,Cơn mất trương lực cơ
cataract,Đục thủy tinh thể
causalgia,Đau bỏng rát thần kinh
cavernous sinus thrombosis,Huyết khối xoang hang
cellulitis,Viêm mô tế bào
cerebellar ataxia,Thất điều tiểu não
cerebral artery embolism,Thuyên tắc động mạch não
cerebral atrophy,Teo não
cerebral haemorrhage,Xuất huyết não
cerebral infarct,Nhồi máu não
cerebral ischaemia,Thiếu máu não
cerebral palsy,Bại não
cerebral vascular disorder,Rối loạn mạch máu não
cerumen impaction,Nút ráy tai
cervical dysplasia,Loạn sản cổ tử cung
cervical polyp,Polyp cổ tử cung
cervical stenosis,Hẹp cổ tử cung
cervical vertebral fracture,Gãy đốt sống cổ
cervicalgia,Đau cổ
cervicitis,Viêm cổ tử cung
chalazion,Lẹo trong
cheilosis,Viêm khóe miệng
chest pain,Đau ngực
chicken pox,Thủy đậu
chill,Ớn lạnh
chloasma,Nám da
choking,Nghẹn
cholecystectomies,Cắt túi mật
cholecystitis,Viêm túi mật
cholecystitis acute,Viêm túi mật cấp
cholecystitis chronic,Viêm túi mật mạn
cholelithiasis,Sỏi mật
chondrocalcinosis pyrophosphate,Lắng đọng calci pyrophosphat ở sụn
chondrodystrophy,Loạn sản sụn
choreoathetosis,Múa vờn
choriocarcinoma,U nguyên bào nuôi
chorioretinitis,Viêm hắc võng mạc
chronic active hepatitis,Viêm gan mạn hoạt động
chronic hepatitis,Viêm gan mạn
chronic obstructive airway disease,Bệnh phổi tắc nghẽn mạn tính
chronic sinusitis,Viêm xoang mạn
chronic ulcerative colitis,Viêm loét đại tràng mạn
cirrhosis,Xơ gan
cleft lip,Sứt môi
cleft palate,Hở hàm ếch
cluster headache,Đau đầu cụm
coated tongue,Lưỡi bẩn
coccidioidomycosis,Nhiễm nấm Coccidioides
coccydynia,Đau xương cụt
coeliac disease,Bệnh celiac
cognitive disorder,Rối loạn nhận thức
colitis,Viêm đại tràng
colitis ischemic,Viêm đại tràng thiếu máu
colitis pseudomembranous,Viêm đại tràng giả mạc
collagenvascular disease,Bệnh mô liên kết
colon neoplasm,U đại tràng
colon polypectomy,Cắt polyp đại tràng
colonic obstruction,Tắc đại tràng
colonic polyp,Polyp đại tràng
color blindness,Mù màu
colostomy,Mở thông đại tràng
coma,Hôn mê
confusion,Lú lẫn
congenital heart disease,Bệnh tim bẩm sinh
conjunctivitis,Viêm kết mạc
conjunctivitis viral,Viêm kết mạc do virus
connective tissue disease,Bệnh mô liên kết
constipated,Táo bón
constrictive pericarditis,Viêm màng ngoài tim co thắt
contact dermatitis,Viêm da tiếp xúc
contracture,Co rút
conversion disorder,Rối loạn chuyển dạng
convulsion,Co giật
corneal abrasion,Trầy xước giác mạc
corneal degeneration,Thoái hóa giác mạc
corneal disorder,Rối loạn giác mạc
corneal ulcer,Loét giác mạc
coronary angioplasty,Nong mạch vành
coronary artery bypass graft,Phẫu thuật bắc cầu động mạch vành
corticosteroid therapy,Điều trị corticosteroid
costochondritis,Viêm sụn sườn
coughing blood,Ho ra máu
cramp,Chuột rút
cryptococcosis,Nhiễm nấm Cryptococcus
cryptorchidism,Tinh hoàn ẩn
cutaneous candidiasis,Nấm da Candida
cutaneous ulcer,Loét da
cyst,Nang
cystic acne,Trứng cá nang
dacrocystitis,Viêm túi lệ
dandruff,Gàu
deafness,Điếc
decreased body temperature,Hạ thân nhiệt
decreased lacrimation,Giảm tiết nước mắt
decubitus ulcer,Loét tì đè
deep vein thromboses,Huyết khối tĩnh mạch sâu
defaecation urgency,Mót đại tiện
deglutition disorder,Rối loạn nuốt
dehydration,Mất nước
delirium tremens,Sảng run do rượu
dental abscess,Áp xe răng
dental caries,Sâu răng
dental pain,Đau răng
depigmentation,Mất sắc tố
dermatitides,Viêm da
dermatitis exfoliative,Viêm da tróc vảy
dermatitis medicamentosa,Viêm da do thuốc
dermatitis seborrheic,Viêm da tiết bã
dermatomyositis,Viêm da cơ
dermatophytosis,Nấm da
dermoid cyst,Nang dermoid
diabetes insipidus,Đái tháo nhạt
diabetic acidosis,Acidosis đái tháo đường
diaphragmatic hernia,Hernia cơ hoành
diarrhea,Tiêu chảy
diarrhea infectious,Tiêu chảy do nhiễm trùng
difficulty in walking,Khó đi lại
disease of liver,Bệnh gan
dislocation,Gãy khớp
disorder Renal,Bệnh thận
disorders of lipid metabolism,Rối loạn chuyển hóa lipid
disseminated lupus erythematosus,Lupus ban đỏ lan tỏa
distended bladder,Bàng quang căng phồng
diverticulitis,Viêm túi thừa đại tràng
diverticulosis,Túi thừa đại tràng
dizziness,Chóng mặt
drowsiness,Buồn ngủ
drug toxicity NOS,Ngộ độc thuốc không xác định
drug withdrawal,Hội chứng cai thuốc
dry eye,Khô mắt
dry skin,Da khô
duodenal ulcer,Loét tá tràng
duodenal ulcer haemorrhage,Xuất huyết loét tá tràng
duodenal ulcer perforation,Thủng loét tá tràng
duodenitis,Viêm tá tràng
dwarfism,Chứng lùn
dysaesthesia,Rối loạn cảm giác
dysarthria,Rối loạn phát âm
dyshidrosis,Tổ đỉa
dyslexia,Rối loạn đọc
dysmenorrhea,Đau bụng kinh
dyspepsia,Khó tiêu
dysphasia,Rối loạn ngôn ngữ
dysphemia,Nói lắp
dysphonia,Rối loạn giọng nói
dysuria,Tiểu buốt
ear ache,Đau tai
ear discharge,Chảy dịch tai
ear infection,Nhiễm trùng tai
eating disorder,Rối loạn ăn uống
ecchymoses,Vết bầm máu
eclampsia,Sản giật
ectopic pregnancies,Thai ngoài tử cung
ectropion,Lật mi
eczema,Chàm
edema,Phù
edema extremities,Phù chi
elevated cholesterol,Tăng cholesterol máu
elevated erythrocyte sedimentation rate,Tăng tốc độ lắng hồng cầu
elevated prostate specific antigen,Tăng PSA
